144.00 near=False raw=[358.0, 364.0, 337.0, 251.0, 203.0, 175.0, 157.0, 148.0, 144.0, 216.0, 144.0, 149.0, 158.0, 176.0, 205.0, 252.0, 340.0, 364.0, 359.0]
146.00 near=False raw=[358.0, 364.0, 343.0, 256.0, 208.0, 178.0, 161.0, 151.0, 146.0, 219.0, 147.0, 151.0, 161.0, 179.0, 208.0, 256.0, 346.0, 364.0, 359.0]
147.00 near=False raw=[358.0, 364.0, 343.0, 257.0, 208.0, 179.0, 162.0, 151.0, 147.0, 220.0, 222.0, 152.0, 162.0, 180.0, 209.0, 256.0, 346.0, 364.0, 359.0]
147.00 near=False raw=[358.0, 364.0, 343.0, 257.0, 208.0, 179.0, 161.0, 151.0, 147.0, 220.0, 147.0, 152.0, 162.0, 179.0, 208.0, 256.0, 346.0, 364.0, 359.0]
146.00 near=False raw=[358.0, 364.0, 343.0, 257.0, 208.0, 178.0, 161.0, 151.0, 146.0, 220.0, 147.0, 151.0, 161.0, 178.0, 208.0, 254.0, 344.0, 364.0, 359.0]
145.00 near=False raw=[358.0, 364.0, 340.0, 254.0, 205.0, 176.0, 158.0, 149.0, 145.0, 218.0, 220.0, 149.0, 158.0, 176.0, 205.0, 252.0, 340.0, 364.0, 359.0]
144.00 near=False raw=[358.0, 364.0, 339.0, 253.0, 205.0, 175.0, 158.0, 148.0, 144.0, 218.0, 144.0, 148.0, 158.0, 175.0, 203.0, 250.0, 340.0, 364.0, 359.0]
143.00 near=False raw=[358.0, 364.0, 337.0, 253.0, 203.0, 175.0, 157.0, 148.0, 220.0, 218.0, 143.0, 148.0, 157.0, 175.0, 203.0, 250.0, 339.0, 364.0, 359.0]
144.00 near=False raw=[358.0, 364.0, 337.0, 253.0, 205.0, 175.0, 158.0, 148.0, 144.0, 218.0, 144.0, 148.0, 158.0, 175.0, 203.0, 250.0, 340.0, 364.0, 359.0]
144.00 near=False raw=[358.0, 364.0, 337.0, 253.0, 205.0, 175.0, 158.0, 149.0, 144.0, 219.0, 144.0, 149.0, 158.0, 176.0, 205.0, 252.0, 340.0, 364.0, 359.0]
144.00 near=False raw=[358.0, 364.0, 337.0, 253.0, 204.0, 175.0, 158.0, 148.0, 144.0, 219.0, 144.0, 148.0, 158.0, 175.0, 205.0, 251.0, 340.0, 364.0, 359.0]
143.00 near=False raw=[358.0, 364.0, 335.0, 251.0, 203.0, 174.0, 157.0, 147.0, 143.0, 218.0, 143.0, 147.0, 157.0, 174.0, 203.0, 250.0, 337.0, 364.0, 359.0]
142.00 near=False raw=[358.0, 364.0, 334.0, 249.0, 201.0, 174.0, 156.0, 147.0, 142.0, 218.0, 142.0, 147.0, 156.0, 174.0, 201.0, 248.0, 337.0, 364.0, 359.0]
142.00 near=False raw=[358.0, 364.0, 334.0, 249.0, 201.0, 172.0, 156.0, 145.0, 142.0, 217.0, 219.0, 145.0, 155.0, 172.0, 201.0, 247.0, 334.0, 364.0, 359.0]
141.00 near=False raw=[358.0, 364.0, 332.0, 249.0, 200.0, 172.0, 155.0, 145.0, 142.0, 217.0, 141.0, 145.0, 155.0, 172.0, 200.0, 246.0, 334.0, 364.0, 359.0]
141.00 near=False raw=[358.0, 364.0, 331.0, 247.0, 200.0, 172.0, 155.0, 145.0, 141.0, 217.0, 141.0, 145.0, 155.0, 172.0, 200.0, 246.0, 334.0, 364.0, 359.0]
141.00 near=False raw=[358.0, 364.0, 331.0, 247.0, 200.0, 172.0, 155.0, 145.0, 141.0, 217.0, 141.0, 145.0, 155.0, 172.0, 200.0, 246.0, 334.0, 364.0, 359.0]
145.00 near=False raw=[358.0, 364.0, 331.0, 249.0, 200.0, 172.0, 155.0, 145.0, 220.0, 217.0, 219.0, 145.0, 155.0, 172.0, 200.0, 246.0, 334.0, 364.0, 359.0]
142.00 near=False raw=[358.0, 364.0, 333.0, 249.0, 201.0, 172.0, 156.0, 147.0, 142.0, 218.0, 142.0, 145.0, 156.0, 172.0, 201.0, 248.0, 337.0, 364.0, 359.0]
142.00 near=False raw=[358.0, 364.0, 334.0, 250.0, 201.0, 174.0, 156.0, 147.0, 142.0, 219.0, 142.0, 147.0, 156.0, 174.0, 201.0, 248.0, 337.0, 364.0, 359.0]
143.00 near=False raw=[358.0, 364.0, 334.0, 251.0, 202.0, 174.0, 156.0, 147.0, 143.0, 219.0, 221.0, 147.0, 156.0, 174.0, 201.0, 248.0, 337.0, 364.0, 359.0]
142.00 near=False raw=[358.0, 364.0, 334.0, 251.0, 202.0, 174.0, 156.0, 147.0, 143.0, 219.0, 142.0, 147.0, 156.0, 174.0, 201.0, 248.0, 337.0, 364.0, 359.0]
142.00 near=False raw=[358.0, 364.0, 334.0, 251.0, 201.0, 174.0, 156.0, 147.0, 142.0, 219.0, 142.0, 147.0, 156.0, 174.0, 201.0, 248.0, 337.0, 364.0, 359.0]
142.00 near=False raw=[358.0, 364.0, 334.0, 249.0, 201.0, 174.0, 156.0, 147.0, 142.0, 218.0, 142.0, 147.0, 156.0, 173.0, 201.0, 248.0, 336.0, 364.0, 359.0]
142.00 near=False raw=[358.0, 364.0, 334.0, 249.0, 201.0, 172.0, 156.0, 145.0, 142.0, 218.0, 220.0, 145.0, 155.0, 172.0, 200.0, 246.0, 334.0, 364.0, 359.0]
141.00 near=False raw=[358.0, 364.0, 331.0, 249.0, 200.0, 172.0, 155.0, 145.0, 220.0, 217.0, 141.0, 145.0, 155.0, 172.0, 200.0, 246.0, 334.0, 364.0, 359.0]
142.00 near=False raw=[358.0, 364.0, 333.0, 249.0, 201.0, 172.0, 156.0, 145.0, 142.0, 218.0, 220.0, 145.0, 155.0, 172.0, 201.0, 246.0, 334.0, 364.0, 359.0]
142.00 near=False raw=[358.0, 364.0, 334.0, 249.0, 201.0, 173.0, 156.0, 147.0, 142.0, 218.0, 142.0, 147.0, 156.0, 173.0, 201.0, 248.0, 337.0, 364.0, 359.0]
